过五关 斩六将
鱼恋水水阔凭鱼跃 鸟爱天天高任鸟飞
吟成赏月之诗只愁月堕 斟满送春之酒惟憾春归
噪晚齐蝉岁岁秋来泣恨 啼宵蜀鸟年年春去伤魂
千尺水帘今古无人能手卷 一轮月镜乾坤何匠用功磨
万象更新水水山山入画诗 一元复始家家户户庆新年
鬓虽残 心未死
煮沸江海 融江冰山
不以物喜 不以己悲
生当作人杰 死亦为鬼雄
白吟千里月 律至九重春
春情寄岸柳 香气凝寒海
清游向天目 幽抱托风怀
吟怀山川趣 观感古今文
秀语夺山绿 奇情破石坚
生活朝下看 工作向上看
放怀形骸以外 浪迹山水之间
放怀于天地外 得气在山水间
骋此长风快浪 欣然临水观山
文气曲如流水 天怀和若春风
推倒一世豪杰 拓开万古心胸
出淤泥而不染 濯清涟而不妖
移风易俗光荣 因循守旧可耻
朝饮木兰之堕露 夕餐秋菊之落英
十里水光心地朗 一林花色性天空
使我开怀唯夜月 令人深省是晨钟
知味人当风月夕 多情心爱雨花天
山川卉木花不息 风云月露天何言
大翼垂天四万里 长松拔地三千年
万花敢向雪中出 一树独先天下春
高峰霞漫寒潭里 绝壁光生晚照红
忠骨遍地地更暖 壮志满天天更新
碧血丹心照青史 壮歌浩气贯长虹
丹心已共河山碎 大义长争日月光
雪打青松松更翠 风扑烈火火更明
心志光明同日月 功勋盖世重山河
愚公未惜移山力 壮士须怀断腕观
狂澜欲倒同心挽 旭日方升旦气扬
迢遥不畏千程路 辛苦惟存一片心
戎马不如归马逸 千家今有百家存
不为私情萦梦寐 只将贞志凌冰雪
棋眉冷对千夫指 俯首甘为孺子牛
为有牺牲多壮志 敢教日月换新天
冷眼向洋看世界 热风吹雨洒江天
金猴奋起千钧棒 玉宇澄清万里埃
情寄高山山起舞 志毛托大海海欢唱
石可破而不可夺坚 丹可磨而不可夺赤
关山难越谁悲失路之人 
萍水相逢尽是他乡之客
即景生情粉蝶翻春花弄影 
涉园成趣红桃映日草铺茵
春亦多情鸟向枝头催逸兴 
人其得意梅从窗外放诗怀
先天下之懮而懮懮得其所 
后天下之乐而乐乐在其中
立大志展宏图足下踏破万里浪 
先天下后局部胸中常有一盘棋
胜不骄 败莫馁
苦读有恒 好学无时
欲知千古事 须读五车书
挥毫列锦绣 落纸如云烟
世事催开卷 人情逼杜门
藏古今学术 聚天地精华
读书破万卷 落笔超群英
吟哦出新意 坦率见真情
高论明秋水 新诗动洛川
雪夜书千卷 花时酒一瓢
白日莫闲过 青春不再来
学识靠积累 聪明寓勤奋
攻城不怕坚 攻书莫畏难
勤奋出天才 实践出真知
长行何怕千里 恒学焉畏万册
县管端由心正 生花还觉梦奇
有志宜师逸少 多才肯效班超
听曲能生万感 作文不放一丝
知不足者好学 耻下问者自满
知识在于积累 才能在于忍耐
放开眼孔观书 抖起脊梁立行
自有高明将学讲 且教童子抱诗来
无尽波涛归学海 长春花木在词林
尽日相亲惟有石 长年可桨莫如书
铦锋梳尽山中兔 蘸墨惊飞海上鱼
悟得柳公书内法 生来江子梦中花
读破万卷诗愈美 行尽千山路转赊
落笔已吞云梦客 舒纸吟啸万里风
梦里花仙觅奇句 山中木客解吟诗
书到疑时须逆志 事当难处但平心
春天诗思行花径 月夜书声坐竹楼
大力可能通纸背 尖毫仍觉吐花香
玉露磨来浓雾起 银笺染处淡云生
几番磨琢方成器 十载耕耘自见功
莫放春秋佳日去 最难风雨故人来
观书到老眼如月 得句惊人胸有珠
梅月横窗成画本 兰风度槛入情诗
常吟卷里相酬句 自画湖边归住山
爱看春山疑读画 静研古墨试听香
一帘花影云拖地 半夜书声月在天
深院著书桐叶雨 曲栏联句藕花风
日月两轮天地眼 诗书万卷圣贤心
淡妆浓抹调新色 顽绿痴红发古香
四壁墨花飞丽藻 一帘佳句占阳春
好书不厌百回读 佳客时来一座倾
天机所到都成趣 人力非关别有神
论古不外才识学 博物能通天地人
长大知才须有用 平常莫等指无名
书城高大能藏道 心地光明始爱才
文当妙处风行水 夜正中时月满天
行文若师心自得 守道如国书为城
灯火迄深书有味 墨花晨湛字生光
学海无涯勤是岸 云程有路志是梯
登高而尽四野所有 著书以成一家之言
千里长堤溃于蚁穴 万丈高台始于一石
思考乃攀登书山之路 毅力是游渡学海之舟
争先进当先进赶先进 学科学用科学追科学
长吟玉海诗兴动江山皆入句 
大开春酒会醉余天地总为家
三月昏 参星夕
杏花盛 桑叶白
霜菊瘦 雨梅肥
梅英尽落 柳眼初开
酷寒盛暑 暮烟晓雾
柳摇春白昼 梅弄月黄昏
蝉鸣哀暮夏 莺啭怨残春
云衍中秋月 雨打上元中
秋凉梧堕叶 春暖杏开花
春园花柳地 秋沼芰荷天
春棠经雨放 秋菊傲霜开
暮雨催寒蛩 晓风吹残月
秋风吹柳绿 细雨点花红
行敲残月落 鸡唱晓云生
落日街翠壁 暮云占烟鬟
昔去雪似花 今来花如雪
落日波中没 秋风天外闻
春来苔是叶 冬至雪入花
日暮天无云 春风扇微和
肥不过春雨 瘦不过秋霜
浓云千檥合 骤雨一江空
日出远岫明 鸟散空林寂
树树皆秋色 山山唯落晖
融融的春光 凄凄的风雨
白露收残月 清风散晚霞
雨过芳草润 春到杏花香
波涛秋八月 风雨夜三更
水落鱼梁浅 天寒梦泽深
水田飞竹鹭 夏木啭黄鹂
秋河曙耿耿 寒渚夜苍苍
轻风摧功草 凝霜竦高木
秋风起白云飞 草木落南雁归
明月别枝惊鹊 清风半夜鸣蝉
一片秋香世界 几层微雨阑干
桃杏春季争放 杜鹃夏季吐香
菊花金秋傲霜 梅花隆冬斗雪
大水流为九曲 春风又是一年
枫叶荻花秋瑟瑟 闲云潭影日悠悠
莺啼燕语芳菲节 蝶影风声烂漫天
遥闻爆竹知更岁 偶见梅花觉已春
奇石尽含千古秀 春光欲上万年枝
九霄香透金茎露 八月生玉宇秋
水风轻萍花渐老 月露冷梧叶飘黄
雨后双禽来占竹 空秋一蝶去寻花
月到广除寒有色 鸦归疏柳夜无声
高山野卉闲行趣 细雨黄花独对对
杨叶怠秋黄欲落 草茎将槁褐加深
昨夜春风才入户 今朝杨柳半垂堤
芳草春回依归绿 梅花时到自然香
笙歌声拂长春地 星月光回不夜天
春风掩映千门柳 暖雨晴开一径花
霑衣欲湿杏花雨 吹面不寒杨柳风
秋至满山多秀色 春来无处不飞花
断送落花三月雨 摧残杨柳九秋霜
寒食芳辰花烂熳 中秋佳节月婵娟
又是一年芳草绿 依然十里杏花红
清风掠地秋先到 赤日行天午不知
柳絮池塘春入梦 朵花庭院冷侵衣
桂花开时香云成海 月轮高处广寒有宫
瑞雪霁南山寒收玉宇 条风嘘北斗春满金瓯
翠翠红红处处莺莺燕燕 
风风雨雨年年暮暮朝朝
火树银花元夕今宵竟不夜 
碧桃春水洞中此处别无天
大造无私处处桃花频送暖 
三阳有旧年年春色去还来
燕语莺啼花又香景物一年新节好 
风和日丽人方泰诗怀万种早春多
春争日 夏争时
盖草枕石 饮露餐风
指点江山 激扬文字
靠山吃山 靠水吃水
生命不息 奋斗不已
无私方敢言 有胆自能察
羽毛使鸟美 知识使人美
同心以驱魑魅 携手共斩豺狼
风吹倍感松挺 雪打更显柏青
风吹不动泰山 雨打不弯青松
寒虫向壁寻残梦 勇士乘风薄太空
楼船夜雪瓜洲渡 铁马秋风大散关
千里春风劳驿使 三秋芳讯寄邮人
财如晓日腾云起 利似春潮带雨来
有万夫不当之勇 无一事自足于怀
劳瘁不辞披夜月 饥寒常忍履冰霜
北伐长征人犹在 千伤万死鬼亦雄
丹心已共河山碎 大意长争日月光
红缨飞舞河山壮 丹心辉映日月长
千秋功绩耀寰宇 一代英名凌彩霞
英雄虽死志更壮 忠魂犹存胆气在
败事之路顺溜溜 成事之路弯曲曲
宇宙是财富之母 劳动是财富之父
丹砂粉碎丹仍在 铁链锻成铁愈铮
铁水奔流映长天 彩虹飞腾冒紫烟
宁做高山上的青松 不作温室里的花朵
浇花要往根上洒水 育曲要在心上用力
光荣人家增光荣光荣属于人民 
英雄门第出英雄英雄来自群众
连理枝 并蒂莲
柔情似水 佳期如梦
桃脸含秋 峨眉凝翠
流水无情 落花有意
锦上添花 雪中送炭
弹琴知音 谈话知心
物以类聚 人以群分
看树看根 看人看心
青山不老 绿水长流
寸心万绪 咫尺千里
海内存知己 天涯若比邻
双眸翦秋水 十指剥春笋
窗前莺并语 帘外燕双飞
月上柳梢头 人约黄昏后
泥融飞燕子 沙暖睡鸳鸯
细细问故旧 星星数鬓斑
迢迢牵牛星 皎皎河汉女
一尊对明月 三径来故人
离堂思琴瑟 别路绕山川
少妇今春意 良人昨夜情
当门花井蒂 迎户树交柯
积恨颜将老 相思心欲燃
好景君须记 深情我自知
足迹半天下 心知唯故人
人不可貌相 海不可斗量
岁寒知松柏 忠难见交情
朋友千个少 冤家一个多
胞波感情重 江水朔源长
草木使山秀 知识使人美
夜月一帘幽梦 春风十里柔情
观化风和日永 怀人言短情长
笑指南山作颂 喜倾北海为尊
有情喝水也甜 无情吃糖也苦
烟开兰叶香风起 春入桃花暖气匀
花开并蒂鸳鸯暖 酒醉同心琥珀浓
碧纱待月春调瑟 红袖添香夜读书
九微灯结连枝彩 井蒂莲开百子图
连理枝头腾凤羽 合欢筵下对鸾杯
银镜台前人似玉 金莺枕侧语如花
红妆带绾同心结 碧沼花开井蒂莲
方借花容添月色 欣逢秋夜作春宵
松柏同心连夜永 桃李结子爱阳春
落月低轩窥烛尽 飞花入户笑床空
几回离别折欲尽 一夜春风吹又长
蓝桥春雪君归日 秦岭秋风我去时
酒不醉人人自醉 花不迷人人自迷
相思相见知何日 此时此夜难为情
金欢词赋传鹦鹉 连理花枝引凤凰
只飞却似关睢鸟 井蒂常开连理枝
劝君更进一杯酒 与尔同消万古愁
唇齿相依关世远 戚欣与共胜天伦
染就江南春水色 结成罗帐连心花
人如风后入江云 情似雨余粘地絮
此生此夜不长好 明月明年处处看
天若有情天亦老 月若无恨月长圆
乐意相关禽对语 生香不断树交花
日中有客为知己 天下谁人不识君
情人对月空怀远 导地观花不当春
常因流水怀今日 每托清风感故人
每因感激怀知己 为乐清虚寄可人
鸳鸯瓦冷霜华重 翡翠衾寒谁与共
万两黄金容易得 一个知心最难寻
细雨梦回鸡塞远 小楼吹砌玉生寒
酒逢知己千杯少 话不投机半句多
落花有意付流水 流水无情葬落花
春蚕到死丝方尽 蜡炬成灰泪始干
身无彩凤双飞翼 心有灵犀一点通
曾经沧海难为水 除却巫山不是云
金鸡啼醒三更梦 狂风吹断并蒂莲
画虎画皮难画骨 知人知面不知心
仇人怀中藏白刃 情人眼里出西施
体灵比鸟鸟亦笨 歌声赛琴琴也哑
喜有两眼明多交友 恨无十年暇读奇书
才子凌云佳人爱雪 榴花映日蒲剑摇风
昔我往矣杨柳依依 今我来思雨雪霏霏
爱情要用忠贞播种 友谊要用谅解护理
没有阳光花儿不香 没有爱情生活不甜
相见时红雨纷纷点绿苔 别离后黄叶萧萧凝暮霭
秋离佳人目送楼头千里雁 早行远客梦惊枕上五更鸡
友至喜阔论四壁图书联当酒 
春来无别事一帘风雨欲催诗
眉似初春柳叶常含著雨恨云愁 
脸如三月桃花暗藏著风情月意
爱情美丽常开幸福花朵 
人生堪慰永葆革命青春
说一声去也 送别河头 叹梦里长驱过桥 便入天涯路 
盼今日归哉 迎来道左 喜故人握手见面 还疑梦里身
东风恶 欢情薄
浮云富贵 粪土王侯
怒从心上起 恶向胆边生
绿窗明月在 青史古人空
泪随流水急 愁逐野云飞
感时花溅泪 恨别鸟惊心
医得眼前疮 剜却心头肉
芙蓉思远道 蟋蟀动愁吟
天风随断柳 客泪堕清笳
天意高难问 人情老易悲
铜雀春情深 金人秋泪横
依依树林出 惨惨烟雾收
静者心多妙 飘然思不群
青山埋白骨 绿水吊忠魂
百年三万日 一别几千秋
凤木有余恨 瞻依无尽时
白云悬影望 鸟鸟切遐思
窗竹鸣秋雨 床琴断夜弦
玉梅含笑意 金柳动哀情
昔时人已没 今日水犹寒
转眼人千里 消魂梦一柯
欢娱嫌夜短 寂寞恨更长
星离成恨事 云散奈愁何
勋名满天下 功业在人间
灰撒江河里 碑树人心中
三江载泪水 五岳摧心胸
白日放歌须纵酒 青春作伴好还乡
蝴蝶梦中家万里 杜鹃枝上月三更
雪花似掌难遮恨 风力如刀不断愁
夜饮客吞杯底月 春游人醉水中天
雨中竹叶含珠泪 雪里梅花载素冠
抽刀断水水更流 举杯浇愁愁更愁
清江锦石伤心丽 嫩蕊浓花满目斑
纵使有花兼有月 可堪无酒又无人
蝉声断续悲残月 萤焰高低照暮空
屏风有意障明月 灯火无情照独眠
酒困路长唯欲睡 日高人渴漫思茶
自在飞花轻似梦 无边丝雨细如愁
江声不尽英雄恨 天意无私草木秋
勋业辉煌欣自举 名花灿烂喜连枝
颇思泛泛鸥为伴 翻羡翩翩燕作客
欢饮花前秋不老 高吟池畔意多遒
西风残照伤摇落 东风丽日喜花开
江管春归花不发 周窗雨冷草空青
三径寒松含露泣 半窗残竹带风号
碧水青山谁作主 落花啼鸟总伤神
古同松柏清同竹 言可经纶行可师
朗月清风怀旧宇 残山剩水读遗诗
扶桑此日骑鲸去 华表何年化鹤来
蝶化竟成辞世梦 鹤鸣犹悲步虚声
人间未遂青云志 天上先成白玉楼
风凄暝色愁杨柳 月吊宵声哭杜鹃
窗前有竹传声籁 座上无人对雨花
流水夕阳千古恨 凄风苦雨百年愁
天上急需白玉赋 人间惊陨少微星
繁花将茂秋光碎 岁月如驰夏室寒
花落胭脂春去早 魂消锦帐梦来惊
人生自古谁无死 凡事行其心所安
热泪滴滴解冻土 悲歌阵阵惊暮鸦
休言灵堂无忠骨 应知寰宇有热血
留声步步垂青史 洒血滴滴荐轩辕
巨笔难尽功千行 泪雨不表哀半点
不信天公鸣哀角 却悲人间陨巨星
泪抛四海召先烈 悲上九天请忠灵
泪滚千行场地湿 哭声一片暮云低
寒风萧萧添哀思 落日曛曛总断魂
倾城人哭哀声震 漫地花飞白雪翩
惊闻落雷肝肠断 忍看星陨裂长空
百日星沉光不熄 一朝风起雨非轻
但恨黄泉无客店 喜看英名落心中
青山翩翩缘君舞 银花朵朵为你开
三山石剑含悲耸 九派波涛带恨流
声声爆竹向寂寥 岁岁哀痛总难消
千山不语齐俯首 万水鸣咽共吹箫
流泪眼对流泪眼 断肠人送断肠人
人逢喜事精神爽 闷来愁困睡意多
月照寒枫空谷深山徒泣泪 霜封宿草素车白马更伤情
人去堂空朝雨暮云难见影 琴调弦绝高山流水少知音
竹径萧条平生壮志三更梦 云山缥缈万里秋风一雁哀
廿年间化雨春风琴书宛在 千里外山长水远梁木何依
时雨飞来半壁山河重洗涤 大星归去满天风月助凄凉
忠魂不泯一腔热血化春雨 大义凛然千秋壮志泣鬼神
枫叶四弦秋怅触天涯迁谪恨 浔阳千尺水勾留江上别离情
菱花镜孤哉惨听秋风吹落叶 锦机声寂矣愁看夜月照空帏
文以载道 史以记事
飞鸟出林 惊蛇入草
洋为中用 古为今用
差之毫厘 谬之千里
持之有故 言之成理
沉郁悲壮 昂扬激越
意料之外 情理之中
文心清若水 诗胆大如天
满纸荒唐言 一把辛酸泪
意到形须似 体完神亦全
笔落惊风神 诗成泣鬼神
眼观山水形 手写山水神
远看山有色 近听水无声
春去花还在 人来鸟不惊
诗言其志也 歌咏其声焉
二句三年得 一吟双泪流
题材无禁区 作家有立场
横如列阵排云 直如倒花垂露
牵如万岁枯藤 纵如惊蛇激水
文章尔雅从无俗 诗赋风流自有神
略诵古今成野史 具言金石著山经
自昔何休为学海 还如司马在史园
诗有清风师正雅 字无俗迹学来禽
能以诗书通政事 自然道学始风流
诗妙尽从言外得 易微谁见画前真
友如作画须求淡 山似论文不喜平
虎尾春冰真学问 马蹄秋水大文章
诗情岛佛非嫌瘦 书法坡仙不碍肥
多画要和诗句读 古琴今作水声听
山川出云即霖雨 日月合壁为文章
举求往迹得其化 文有真宗鉴乃神
挥将日月长明笔 写就雷霆不朽文
相如一赋值千金 屈原一骚传万代
苏轼唱大江东去 柳永吟晓风残月
稼轩笔下龙蛇走 定庵砚上风雷吼
尚书即散文之祖 诗经乃诗歌之端
眼睛即心灵之窗 书本乃智慧之梯
登高而思此乐万古 立言不袭自成一家
诗若长城四境独守 学如大海百流兼归
秋来景物件件是佳句 冬至雪花片片即新诗
百花齐放文艺繁荣昌盛 万象更新舞台生动活泼
写诗的人看世界应该有憎有爱 
写诗的人看万物应该有情有声
独脚兽 比目鱼
水底月 镜中花
枕头枕枕 踏脚踏踏
水车车水 火钳钳火
声声色色 本本原原
清清洁洁 龌龌龊龊
上上下下 短短长长
重重叠叠 弯弯曲曲
一天星斗 万里江山
瓜熟蒂落 藕断丝连
柴多火旺 水涨船高
画饼充饥 望梅止渴
坐请坐请上坐 茶敬茶敬香茶
竹雨松风梧月 茶烟琴棋书声
朝朝朝朝朝朝夕 长长长长长长消
长长长长长长长 行行行行行行行
门对千竿竹短无 家藏万卷书长有
各灯登阁各攻书 同椅倚桐同观月
双手推开窗前月 一石击破水中天
千年龙潭蒸琥珀 万里仙桥起祥云
毋意毋必毋固毋我 如切如磋如琢如磨
船漏漏湿盆漏漏干 灯吹吹灭火吹吹燃
得胜的猫儿胜过虎 失势的凤凰不如鸡
藕入泥中玉管通地理 荷出水面朱笔点天文
竹本无心节外又生枝叶 藕虽有孔腹内不藏污泥
白蛇仆江口吐一支红焰 青蛇挂壁身披万点金星
树大根深不落无头之鸟 河小水浅难藏有角鳞龙
童子打桐籽桐籽落童子乐 和尚顺河上河上完和尚玩
松声竹声钟磬声声声自应 山色水色烟霞色色色皆空
桥上荞风吹吹荞动桥不动 楼上苲雨洒洒苲湿楼不湿
鸦啼鹊噪并立枝头淡祸福 燕来雁往相逢路上话春秋
风声雨声读书声声声入耳 家事国事天下事事事关心
十口心思思民思国思社稷 八目尚赏赏风赏月赏秋香
兄玄德弟翼德威钲曹孟德 师卧龙降子龙辅佐汉真龙
博也厚也高也明也悠也久也 劳之来之匡之直之辅之翼之
佳水佳山佳风佳月千秋佳地 痴色痴声痴情痴梦几辈痴人
天作棋盘星作子明明朗朗谁敢下 
地为琵琶路为弦清清楚楚孰能弹
莺莺燕燕翠翠红红处处融融洽洽 
雨雨风风花花草草年年暮暮朝朝
风风雨雨暖暖寒寒处处寻寻觅觅 
莺莺燕燕花花叶叶卿卿暮暮朝朝
秤直勾弯星朗朗能知轻知重 
磨大眼小齿稀稀可推细推粗
合时黄鹤重来且自把金樽看州渚十年芳草 
今日白云尚在问谁吹玉笛落江城五月梅花
晶字三个日时将有日思无日日日日百年三万六千日 
品字三个口宜当张口且张口口口口劝君更进一杯酒
