春节对联
四言联
风和日丽  三星在户  百事皆乐  民生有幸
人勤地丰  五业其昌  万象更新  国运无疆
云霞呈秀  门迎百福  天开化宇  金莺报喜
梅柳生辉  户纳千祥  人在春台  玉燕迎春
五言联
阳光凝大地 年丰人益寿 迎春接福日 江山千古秀
春色入人家 春早福盈门 足食丰衣年 祖国万年春
人随春意泰 勤劳能致富 同修富裕路 山河添秀色
事共壮怀成 和睦可生财 共建文明村 大地沐春晖
好景年年好 政通千家福 太平真福贵 春晖盈大地
新春岁岁新 人和万户春 春色大文章 正气满乾坤
淑气芝兰茂 三阳临吉地 国登强盛境 春明有富贵
春风桃李香 五福萃华门 人过富裕年 风静全家安
花随春意发 庆新春肇事 人民歌永泰 一年春作首
福从好运来 祝大业终成 祖国庆长春 百事德为先
半年飞瑞雪 岁月随人好 万里春光美 祖国春如海
好景舞春风 山河照眼明 九州瑞气浓 人民力胜天
梅花开五福 年年歌大有 新风开盛世 红点桃花嫩
竹叶报三多 岁岁颂新康 春色壮神州 青描柳色新
天开新岁月 四海春光好 人民歌大治 党指通天路
人改旧乾坤 九州气象新 祖国庆长安 民怀报国心
神州臻百福 风和催四化 玉堂浮瑞气 共祝升平日
盛世集千祥 政通喜千家 金室耀祥光 同沾大有年
事业随春长 普天开景运 跨峥嵘岁月 龙飞欣晓日
风光逐日新 大地沐春晖 奔锦绣前程 马到庆丰功
日月光天德 有年皆丽日 云霞出海曙 春风舒冻柳
云霞拥地灵 无处不春风 梅柳渡江春 瑞雪兆丰年
和光生柳叶 风助飞雪舞 青山多画意 吟竹诗含翠
春色泛桃花 诗伴落梅吟 春雨润诗情 画梅笔带香
华文春日丽 神州春浩荡 普天开远景 云霞成异彩
瑞色紫云高 寰海日光华 大地焕新风 梅柳动春风
六言联
瑞雪娇梅袅柳  户户金花报喜  祖国河山似锦
人逢盛世居栖稳 鸟语花香歌丽日 春深碧海腾龙甲
运际阳春气象新 民康物阜乐尧天 花满瑶池飞风羽
东风已绿南国草 三阳开泰生机发 六出飞花千亩喜
春信才开北岭海 九天增辉喜气扬 一声爆竹万家春
满园桃李争春艳 玉树暖迎沧海日 丽日晴天凭风舞
遍山松柏耐岁寒 珠帘光动锦城春 华年盛世任龙飞
忠厚一生嫌善少 天增岁月人增寿 青山林茂千重翠
平安二字值钱多 春满乾坤福满门 碧野粮丰万簇金
梅红塞北满天彩 大地复苏春似锦 万象更新春光好
柳绿江南遍地春 人心振奋气如虹 一看巨变喜事多
春到千家同致富 时雨点红桃千树 鹊送喜报风送爽
福临万户共迎祥 春风吹绿柳万枝 莺传佳音梅传春
柳绿桃红春万里 枝头喜鹊唱新曲 花红柳绿千山秀
天蓝莺丽日长天 雪里梅花报早春 日暖风和万民欢
年丰人寿福如海 花灯灿烂逢盛世 腊梅吐芳迎红日
柳暗花明春似潮 锣鼓喧天颂华年 绿柳展枝舞春风
美酒千盅辞旧岁 祖国有天皆丽日 楼外春阳鸠唤雨
梅花万树迎新春 神州无处不春风 庭前日暖蝶翻风
花承朝露千葩发 兴邦有策苍生福 文明雨润千枝翠
莺感春风百啭鸣 报国无私赤子心 礼貌风吹万朵红
春花消息寒梅报 风吹杨柳千门绿 天将化日舒清气
芳草萌芽细雨催 雨滋桃杏万户红 室有春风聚太和
同歌华夏兴邦曲 风和日丽花争笑 千秋伟业同心铸
共赋神州治国诗 水绿山青鸟竞歌 四化宏图众手成
庭中有竹春常在 一家欢笑春风暖 红杏枝头春意闹
天上无云月更圆 四季平安淑景新 绿杨烟外晓寒轻
梅带寒香成隔发 除夕刚饮祝捷酒 彩笔传情歌盛世
酒称腊味入新年 新年又看报春花 丹霞达意喧廉风
五福十福全家福 春风掩映千门柳 万里和风生柳叶
千春万春满堂春 碧间萦回十里花 一枝春雪映梅花
日丽风和春浩荡 门对青山财源广 竹叶金樽辞旧岁
花香鸟语物昭苏 户迎绿水富根深 梅花瑞雪报丰年
桃李逢时天下春 染庭碧草来春色 兴国气势连天涌
芝兰得气一庭秀 入户清风送好音 富民潮头逐浪高
春露含嫣泛紫气 皑皑白雪兆丰年 美酒红灯歌胜利
野花吐馨迎朝阳 习习东风焕物华 银筝玉管迎新春
爆竹随心飞笑语 千秋大地发春华 庭前瑞发花光锦
春风得意谱欢歌 万里山河涌春潮 门外鸟鸣春风歌
青山石墨千秋画 时雨送来千里绿 天上星光增异彩
绿水无弦万古琴 春光不让一人闲 人间科技建奇功
五色云中开晓日 花如解语迎人笑 鸟语早随阳气发
万年枝上动春风 草不知名随意生 人心长望春不归
欣逢盛世酌喜酒 莫待明年花更好 日丽远山含淑气
好趁早春播幸福 当惜今朝春更浓 风和芳树蔼春晖
大地有色皆春染 红气满林花著雨 十亿人民颂大治
人间无处不东风 翠光摇户柳含烟 万里江山展宏图
举目看花花满目 桃花已发三层浪 鸟韵入帘时正年
出门见喜喜盈门 春潮长吐万里云 花香浮云日初长
千山叠翠春光好 心地光明千丈雾 风发霸柳绿浪暖
万水扬波气象新 家庭和睦四时春 春临柔雪花溪长
当留春光驻华夏 国运兴隆如旭日 雪洁巧铺千里玉
新开世纪属炎黄 事业发达胜阳春 柳柔喜绽万条金
腊梅一院无凋谢 春风陌上翻新绿 青山绿水风云静
风竹十里有清香 时雨枝头含珠红 碧海蓝天日月明
四化宏图酬壮志 喜鹊登枝红梅俏 莺识新机随日至
两番大业比雄心 春风吹柳紫燕欢 燕寻旧主带春来
探得早梅迎献岁 云间瑞气三千丈 春风堂上初来燕
推寻旧历挹韶华 堂上春风廿四时 细雨庭前乍开花
春风细柳飘祥语 一曲笙歌春似海 太平有象人同乐
时雨长安度半年 千门灯为夜如潮 天地无私物自春
春来奇花红映月 芙蓉夜日开天镜 天泰地泰三阳泰
冬去芳草碧连天 杨柳春风拥画图 家和人和万事和
爆竹一声除旧岁 绘我河山添彩笔 绿柳舒眉除旧岁
桃符万户换新春 献身祖国出良谋 红桃开口笑半年
映阶碧草生新色 春来百花香满地 细雨无声滋大地
隔叶黄鹂送好音 日照万物喜临门 春风有意暖人心
火树光腾城不夜 人尽其才人延寿 绿荣大地春风动
银花焰吐景长春 物畅其流物生辉 红染长天旭日高
柳披烟霞山色翠 春染千畴一片绿 天上四季春为首
梅含胭脂春意浓 雨润万花遍地红 人间五福寿宜先
春和草木当庭秀 百年天地回元气 千好万好满院好
时泰山河映日红 一统山河际太平 五福百福全家福
雪消门外千山绿 窗含青山鸟衔翠 感旧已无清江鹤
春到人间万户欢 门垂碧柳花吐艳 怀乡忽见巴山鹃
春到自然山有色 一冬寒风随夜尽 抬头见喜喜满院
时来依旧水映花 九州春色破晓明 开门大吉吉盈庭
一城花雨山河壮 春风摇醒千门柳 勤劳修通富裕路
满苑春风天地辉 暖雨催开万径花 节俭叩开幸福门
八方财神添贵富 五风十雨农家乐 丰收酒溢全家笑
四时福星保平安 万紫千红大地春 致富花开四季春
新年初一大门开 三春淑气盈门室 创业莫忘先辈德
吉星送进福财来 万里祥光烛斗文 成家惟愿后世昌
四海皆春春不老 花锦堆云香燕垒 好事好景好运气
九州同乐乐无穷 柳丝回韵织莺帘 多财多福多吉祥
一勤天下无难事 桃柳争催春烂漫 致富欢歌催腊尽
百忍堂中有太和 云霞长拥日光华 发家喜酒送春来
春风得意花千里 春种满田皆碧玉 春风阵阵宜人意
煦日扬辉暖万家 秋收遍野尽黄金 政策昭昭顺民心
把酒高吟春色赋 丰衣足食千家乐 金镰钩起新弯月
扬鞭又唱丰收谣 丽日和风百花娇 银锄震落满天星
福星高照农家屋 政策英明兴百业 生财路上残冰化
春日永悬致富门 经营合理富万家 致富源头活水来
庆丰年全家欢乐 乍雨乍晴花易老 春到堂前增瑞气
贺佳节满屋生辉 耐霜耐雪松长青 日临庭上起祥光
万木欣春随水绿 春随芳草千年艳 江南塞北家家乐
百花争艳向阳红 人与梅花一样清 天涯海角处处春
无边沃野翻金浪 松青柏翠山山美 剑击歪风春色丽
一片碧波跃玉鳞 柳绿桃红户户春 琴鸣新曲乐声高
河水流长歌千首 翠鸟争鸣春意闹 牛马猪羊六畜旺
春风送暖花万枝 红梅怒放喜讯传 荷花菱藕一池鲜
牛羊并壮猪盈圈 园丁辛勤一堂秀 遥闻爆竹知更岁
鸡鸭成群鱼满塘 桃李成荫四海春 偶见梅花觉已春
雪凝大地梅犹俏 莺歌燕舞春光好 万首新诗吟大治
日照高峰松更青 水远山高幸福长 千杯美酒祝丰年
岁寒显出苍松劲 牡丹朵朵开洪福 年来年去年年好
春暖方知绿柳新 阳雀声声唱早春 岁换岁更岁岁新
百鸟和鸣歌序曲 四海笙歌讴盛世 福如东海千年乐
万民欢愉庆丰年 九州爆竹庆尧天 寿比南山万户春
九州联奏迎春曲 爆竹随心飞笑语 红日无私照大地
万众同描祝福图 春风着意谱新歌 春风得意暖神州
春秋有梦托宏愿 春江千里飞虹彩 新岁新春幸福日
山水飞歌树雄心 沃野万顷捧黄金 好时好景吉祥年
千古传奇惊日月 万众欢腾歌盛世 声声爆竹传千里
九州揽胜壮春秋 百花竞放贺新年 点点梅花又一春
勤劳创下千秋业 庆新春九州如画 九州插上腾飞翼
科学招来万贯财 度佳节四海归心 四海流行开放歌
金鸡一唱千门晓 喜盈门第至新景 新岁高登新境界
绿柳千条四海春 春满人间入画图 好春大写好文章
福寿称心家顺泰 风递清香梅已绽 英雄儿女创新业
春风得意业昌隆 春临大地景全新 锦绣河山入壮图
八言联
洒下汗珠春风桃李 户对青山花蕾缀树 百业兴昌欣逢盛世
迎来硕果秋雨梧桐 门含绿水鱼藕满塘 万民愉悦喜接新年
阳春美景山河壮丽 辞旧岁合力山成玉 鸟语花香有声有色
大块文章岁月增新 庆新春同心土变金 国强民富可喜可歌
瑞雪纷飞村村兆瑞 人杰地灵百业兴旺 华夏中天艳阳高照
春风浩荡处处迎春 山欢水笑五谷丰登 神州大地紫气东来
雪满千岩山高月下 福星高照长空溢彩 两岸三通九州一统
春来万里水流花开 万事亨通大地流金 八方四化万紫千红
盛世和平百花齐放 载酒迎春春光丽丽 事业繁荣门盈喜气
宏图大展万里腾飞 出门见喜喜气洋洋 江山秀丽户绕春风
四化蓝图崭新日月 春满人间欢歌阵阵 春雨秋露泽被千里
十年规划扭转乾坤 福临门第喜气洋洋 光风霁月晖洒万家
绿水常言三春如意 继往开来千秋大业 大海方平千帆竞发
青山不语四季呈祥 承前启后四化宏图 征途正远万马奔腾
九派奔流千舟竞发 春夏秋冬年轮又转 门外青山龙翔凤舞
一元复始万物争春 东西南北方位永恒 窗前绿水鱼跃鸢飞
四海归心小康在望 四柱擎天金瓯永固 春满九州一元复始
九州特色宏业常兴 五星耀地玉宇清平 国臻四化百业俱兴
岁月峥嵘青春焕彩 幸福安详人之企盼 祖国江山花明柳暗
前程灿烂赤县增辉 文明富裕众所追求 人民事业月异日新
幸福家庭丰衣足食 党引春风山明水秀 民安国泰千门报喜
文明社会正气清风 国兴特色物阜年丰 地瑞天祥万户迎春
淑气初回天蓝地秀 天送祥和芳春永驻 四海五湖同铺春景
春光四溢心旷神怡 地呈锦绣盛世长存 千家万户均谢党恩
天地九州又增一岁 瓶插四友梅兰竹菊 月仄日平自然格律
人民十亿更上层搂 岁转一轮春夏秋冬 云笺雨墨浩翰文章
丽日煦和春光永驻
惠风恬畅富水长流
九言联
旭日出东方光弥宇宙    舜日尧天万民增福泽
百花开大地春满人间    和风甘雨四海沐春晖
大地播春光山青水绿    自力更生创千秋大业
神州增秀色万紫千红    励精图治开万代宏基
翠浪映碧空莺歌燕舞    翠柳摇风喧千树翠鸟
白云绕青壑柳绿花红    红梅映日吐万枝红霞
一夜东风吹红花万朵    大路通天更喜中华伟
三春细雨染绿柳千条    宏图遍地当惊世界殊
五更分二年年年祝福    东风引紫气江山壮丽
一夜连双岁岁岁呈祥    大地发春华桃李芬芳
花团锦簇江山添异彩    把酒庆新春春风浩荡
虎啸龙吟华夏振神威    题诗歌盛世世纪辉煌
紫燕腾欢迎来新日月    一代英豪揽九天日月
红梅绽放换了旧山河    九州华夏展四化宏图
柳绿桃红映一江碧水    政策英明明时寄感慨
莺歌燕舞闹十里春风    国家昌盛盛世乐开怀
日丽风和三春飘翠柳    党振雄风神州千古秀
山青水秀万里展宏图    国兴特色华夏万年春
春风拂大地山河锦绣    争春在草木木荣花艳
华夏转新机岁月峥嵘    取信于人民民富国强
岁岁平安时时交好运    为希望工程添砖加瓦
年年有吉处处遇良机    看风流人物富国兴邦
傲雪红梅笑送九冬景    乐奏埚嵇歌中化特色
穿云紫燕喜迎四化春    舞参犀象贺锦绣前程
趋万里东风层楼更上    翠竹掩红楼别开天地
沐三春化雨四海同欢    青山依绿水点缀乾坤
松柏长青河山千里秀    年年有庆新年新局面
云霞放彩社稷万年春    步步登高一步一层天
一夜度双年年年有吉
五更交两岁岁岁高升
十言联
岁岁辞旧岁往岁逊今岁   含笑腊梅唤醒奇葩千树
春春迎新春来春胜去春   溢香春笋挺起翠竹万竿
杏雨飞红喜织千家春色   日丽风和绣出山河似锦
和风着绿巧绣万里新图   年丰物阜迎来大地皆春
辞旧岁劲松染霜松尤绿   松香竹香梅香香风阵阵
迎新春寒梅映雪梅更红   天美地美人美美意重重
江山不老处处山青水秀   中华儿女敢揽九天明月
神州永春年年林茂粮丰   两个文明勤绘四化宏图
鞭炮声欢笑声声声悦耳   伟大祖国迎来满园春色
国家事人民事事事赏心   英雄人民创造举世文明
迎新年万众共饮奋飞酒   巨龙腾飞光耀神州大地
干四化九州齐唱改革歌   睡狮猛醒声震寰宇长空
十一言联
入户问家声礼乐诗书孝悌  万木逢春三山五岭皆吐翠
卷帘看春色椿萱棠棣芝兰  百花得意万紫千红尽争荣
春至阳回玉宇无尘千顷绿  一夜连双岁岁岁六畜兴旺
岁当运转银花有焰万家新  五更分两年年年五谷丰登
长青树有根独茂勤劳门第  爆竹喧腾一代河山光夏甸
幸福花无种只生和睦人家  桃符披彩几家门第乐春台
红日高照全国共创小康户  山舞银蛇昨日乍消千嶂雪
经济腾飞普天同庆大有年  云飞紫燕今朝先放一枝花
旧风俗旧习惯随旧岁送去  万众同心创造人民百代福
新思想新气象伴新春到来  九州一统迎来祖国万年春
崇俭戒奢美德持家家必富  新天新地新人新事新气象
纳新吐故贤才治国国昌隆  春风春雨春花春月春满园
十二言联
布谷鸟鸟布谷布下丰收消息 四化待英才斩棘披荆承大业
迎春花花迎春迎来大好春光 九州期志士呕心沥血报春晖
对面一春山又方又正堪仰止 大地换新颜粮遍田陌歌遍野
出门两道路何去何从应清分 山坡披彩装果满枝头笑满林
岁岁喜迎春春为岁首春常在 南北共中兴山海开源荣禹甸
人人欣向党党得人心党永年 城乡皆大定工农联谊乐尧天
瑞色布人间锦绣河山添锦绣 挥笔写豪情敢向五洲夸特色
春阳普大地光辉节日更光辉 放怀抒壮志能教九域起宏图
彩笔绘神州指点江山添秀色 翘首望京华多谢春风常送暖
新春思台友愿将日月共光辉 深情连海宇应凭红豆寄相思
黛墨研碧水疾书竹赋漾春意 赤子盼黄山苍松翠竹暗香里
素笺染丹霞喜绘梅图颂党恩 金瓯思潭月紫雨碧云彩霓中
十三言以上联
紫气东来看九州物华酒美人寿 晴雪映梅花预兆丰年太平有象
祥云普照喜八桂胜境鱼肥米香 朝阳连爆竹曰为改岁乐事无边
天时地利人和百业兴隆臻盛世 元日日丽照大地大地风光无限
林茂粮丰物阜万家欢乐贺新春 三春春浓盈山川山川美景绝佳
人民有应更喜龙凤呈祥龟蛇献寿 瑞雪片片兆丰年家家迎春祝福
天地无私试看云霞出海梅柳迎春 祥梅枝枝吐新蕾户户恭喜发财
年胜一年年胜年年年有剩年年盛 梅花红柳丝绿如画江山千里秀
月新余月月新月月月纳薪月月欣 云霞丽松柏青似锦前程万载春
年年喜鹊闹红梅红梅昂首迎红日 数不尽春光门前绿树阶前玉树
岁岁笑颜入春贴春贴满门洽春风 看将来气象千里青云万里轻云
雄儿女风华正茂不愧当代俊杰 山如画水如画心田才是最美画
绣江山春意盎然堪称人间乐园 春是诗秋是诗国策方如绝妙诗
勤劳门第春常在春回大地春光好 门前车兮马兮车水马龙奔富路
节俭人家福先临福满乾坤福气多 世上花也锦也花团锦簇绣文明
青云直上勉中华儿女揽九天明月 四季长留四季青喜看冬季如春季
紫气东来建两个文明绘四化宏图 一年更比一年好定叫今年胜去年
火树银花福寿酒于元春春满玉宇 凤舞龙飞喜看大好河山生机无限
山鬟水佩拂垂杨之稚绿绿萦金城 云蒸霞蔚遥望同胞骨肉团聚有期
四序更新巍巍乎万里长城三春不老
一元复始灿灿兮千年古国九鼎生光
松劲南山鹤栖北野天南海北人高寿
莺歌西月燕舞东风河西江东景长春
党扶正气民扬志气华夏年年增喜气
国倡嘉风家树新风神州处处荡春风
廿四番花信神州大地万紫千红春意满
九十般韶光伟业宏图三山五岭喜事多
农家春联
穷山变富  勤劳是本  凯歌动地  春播千村笑
旧貌换新  性善为纲  战鼓催春  福驻万户欢
吉祥有喜  生财有道  五谷丰登  山村时雨润
富贵长春  幸福无疆  六畜兴旺  水乡月正明
山欢水笑  全家福气  春盈四海  春联映春日
喜临人间  满院春光  花熳九州  福地托福天
丰收岁月  莺歌燕舞  春风得意  农家多喜气
康乐人家  春到大地  丽日舒怀  六户满春光
春风得意  丰收酒浓  开门闻喜讯 百花开田野
政策归心  勤劳汗香  举步见春光 五福入农家
香飘四季  林木山山绿  竹影有新意  红日辉林海
绿满九州  鱼鸭塘塘丰  松风含古姿  春光焕鸟音
庭荣松柏  田园常有乐  祖国春光好  丹桂香千里
阶茂芝兰  鱼鸟亦相亲  农村气象新  松柏绿万年
山川毓秀  发家勤为本  江山千古秀  茶园香屋后
松柏常青  致富俭当头  花木四时春  柳浪泛门前
高山埋宝  土能生百福  林深惊鸟兽  高枕随流水
林海藏金  地可纳千祥  果熟醉山人  轻帆任远风
万户皆喜色 竹松添翠色  匠心随所种  柳笛穿林过
千村尽春光 桃李绽新蕾  著手便成春  山歌带月行
日丽山河秀 荒岭成林海  春拂柳丝翠  日月开新纪
风和草木荣 沙滩变绿洲  秋染枫叶红  田园人画图
唱晚耽清兴 渔歌随浪涌  一帆云作伴 田园风光绝好
临波寄渺怀 海货与山齐  千里月相随 农家岁月更新
摇橹时弄月 春潮新涨碧 通商为物畅 欲夺粮丰须细作
挂帆自生风 银网广织歌 集贸利农家 力争苗壮务精耕
明月双溪水  农家小院溢瑞气  乘风破浪歌一海
轻波一钓船  幸福门第增祥光  喜笑颜开银满仓
发家勤为本 草木盼春暖 一畦春韭绿 花开群芳谱
致富俭当头 人民思富裕 十里稻花香 人喜丰收年
春到农家院 江山千古秀 政喜千门暖 普及科学知识
福临致富门 中华万年青 风和万户春 提高耕作技术
嫩柳千姿秀 江山添秀色 水清鱼可数 红梅伸枝傲雪
娇梅万态新 桃李发春华 林静鸟无言 桃李含笑迎春
瑞雪漫天舞 桃李成蹊径 春光何荡荡 搞好科学种田
红梅报春来 江山如画图 雨意且潇潇 促进农业生产
佳节家家乐 春润竹梅门第 户户安居乐业
新春处处欢 喜融楼阁农家 村村增产丰收
风掀稻浪金波滚  铁臂挥舞山河变  乘风出海勤生产
秋熟棉田白雪铺  银锄起落天地新  满载而归唱渔歌
一网收来鱼满载  举怀喜庆丰收年  家家粮食满仓囤
千锄种下谷盈仓  迎宾先唱农家乐  人人喜气上眉梢
五谷丰登农家乐  闹春耕人勤春早  梅花含苞迎春到
四季增收岁月甜  抢农时民乐年丰  瑞雪漫野兆丰年
新谷登场万户乐  马壮人强康乐日  地旺人勤山献宝
雄心揽月九天低  仓流囤满裕丰年  春浓日暖国增辉
敲锣打鼓庆佳节  东风化雨山山翠  五业并举家家乐
张灯结彩贺丰收  政策归心处处春  六畜兴旺户户欢
熙春渔港千帆集  勤俭人家先致富  春风得意花千里
出海云涛万网张  向阳花木早逢春  秋月扬辉桂一技
勤劳门第山献宝  汗洒田园五谷秀  爱竹不锄当路笋
俭朴人家土变金  锄描大地万家春  惜花常护入帘枝
缫成白雪桑重绿  茧花结出丰收果  花影不离身左右
割尽黄云稻正青  汗水汇成幸福泉  鸟声只在耳东西
人欢马叫丰收岁  春动生机龙起蛰  晴窗透日桑榆影
狮舞龙腾改革春  物宣时令鸟催耕  晚露湿秋黍禾香
一年生计勤务商  地开美景春光好  林高草茂牛羊壮
无限春光任剪裁  人庆丰收喜气多  水秀山青稻麦丰
国泰民安知礼乐  万壑松涛山雨过  东风送暖千山绿
年丰物阜庆康宁  千山花色水风生  旭日生辉万壑春
竹林葱郁千嶂翠  高岭苍茫低岭翠  松色巧开千岭绿
树海苍茫万顷涛  幼林明媚母林幽  梅香普送万家春
十年树木千秋业  风吹杨柳千山绿  百鸟齐鸣迎旭日
一望江山万里春  雨润杏桃万里红  千林披翠舞东风
绿满林区山滴翠  植树为求千代福  千只轻艇迎风去
春回茶场路飘香  护林因葆万山春  万担鲜鱼上网来
造林直上千重岭  绿屏碧嶂遮风砾  千峰苍翠吐春意
筑坝横拦万顷波  林海雪原育栋梁  万亩碧波浴早晖
秃岭荒山成昔日  劲竹在前方见节  碧海金波朝旭日
青峰绿海看今朝  腊梅去后尚留香  春风银网耀朱鳞
鸟欲娱人娇舌啭  祖国有山皆绿化  春风习习渔家乐
花如爱客笑颜开  林区无处不清风  秋水粼粼夹岸欢
青山不老山犹秀  一片晓烟杨柳绿  百花园里珍禽舞
碧水长流水愈娇  满园春色杏桃红  万木林中好鸟鸣
千林鸟唱山增韵  草绿花红锦绣地  自闭桃源称太古
四野花开果溢香  粮丰林茂喜欢村  欲栽佳木柱长天
万木欣春随水绿  柳绿梨黄千载福  熙春鱼港千帆集
百花争艳向阳红  桃红松翠万年春  出海云涛万网张
海上渔歌随浪涌  碧波浩渺千帆舞  出海千船迎日出
岸边欢笑逐风飞  紫气光华万象新  归程万篓顺风归
万顷烟波天接海  双桨荡开波面镜  五岭山歌传吉讯
千舱欢笑喜迎春  一篙撑破水中天  三江渔唱起春潮
金山银海迎朝日  雨顺风调人出海  汪洋大海鱼群广
牧笛渔舟唱晚风  帆轻云淡船归家  浪静风平水产车
乘风破浪扬帆去  白帆春暖兴渔业  鱼香醉倒千重浪
金甲银鳞满艇归  碧海波平唱福音  螺号唤醒万户春
寒江打网随流水  渔唱晓迎红日出  堤外波光千里碧
曲渚回舟带夕阳  风帆暮载锦鳞归  船中春色万斤银
潮汛朝争歌满海  港外群帆迎旭日  白云春暖千家乐
归帆夕映喜盈舱  船中笑脸伴春风  珠海波平万舶来
集市繁荣财路广  无穷生意赖乡土  科学知识穷山变富
通商无欺物公平  有志农民是栋材  改革精神旧貌换新
春风晓月随流水  搞好供销生意好  劳动发家棉铺银床
小曲轻舟载锦鳞  提高生产赞声多  科学创业稻围金帐
万国嘉宾舟载宝  油盐布匹天天有  植树造林有山皆绿
三山奇景海连云  农具肥料日日全  移花接木到处是春
集市繁荣物价稳  南北货任君挑选  海笑人欢九州永泰
人心安定世风新  工农渠凭我沟通  盐丰鱼跃四海长春
聚四面八方产品  政策英明兴百业  耕雨锄云迎来幸福
供千家万户需求  经营合理富千家  栽花种树装点春光
繁荣市场财源旺  天复三阳人勤春  花果飘香桑麻挺秀
礼貌经商客自多  牛耕千顷心齐年  牛羊肥壮稻菽丰盈
财源滚进勤劳户 一家和顺应归福 五谷今年歌大有
幸福频临节俭家 百业振兴皆因勤 九州到处庆升平
梨花院落溶溶月 让富字安家落户 田园逢春春似锦
春水池塘淡淡风 把穷字扫地出门 劳动致富富盈门
又是一年丰收乐 谷有田园桑有圃 日丽风和增福寿
