遥山丽如绮 长流萦似带
政烦方改篆 愚俗乃焚书
阿房久已灭 阁道遂成墟
寒光犹恋甘泉树 淑景偏临建始花
彩蝶黄莺未歌舞 梅香柳色已矜夸
霞衣霞锦千般状 云峰云岫百重生
水炫珠光遇泉客 岩悬石镜厌山精
黎庶既蕃殖 临之劳近臣
远别初首路 今行方及春
白雪乍回散 同云何惨烈
未见温泉冰 宁知火井灭
冕旒丰暇日 乘景暂经过
戚里申高宴 平台奏雅歌
鹜池临九达 龙岫对层城
桂月先秋冷 蘋风向晚清
地犹鄹氏邑 宅即鲁王宫
叹凤嗟身否 伤麟怨道穷
阴崖含秀色 温谷吐潺湲
绩为蠲邪著 功因养正宣
龙蛇开阵法 貔虎振军威
诈虏脑涂地 征夫血染衣
草合人踪断 尘浓鸟迹深
流沙丹灶没 关路紫烟沉
山川入虞虢 风俗限西东
树古棠阴在 耕余让畔空
每云低远岫 飞雪舞长空
赋象恒依物 萦回屡逐风
岂不惜贤达 其如高尚心
寰中得秘要 方外散幽襟
路逢三五夜 春色暗中期
关外长河转 宫中淑气迟
欲练英雄志 须明胜负多
噪齐山岌嶪 气作水腾波
繁云先合寸 膏雨自依旬
飒飒飞平野 霏霏静暗尘
分将赐群后 遇象见清心
台上冰华澈 窗中月影临
下传金版术 上刻玉清书
有美探真士 囊中得秘书
翠屏千仞合 丹嶂五丁开
灌木萦旗转 仙云拂马来
日月丽光景 星斗裁文章
写鉴表容质 佩服为身防
真子今将命 苍生福可传
江山寻故国 城郭信依然
将成金阙要 愿奉玉清书
云路三天近 松溪万籁虚
归期千载鹤 春至一来朝
采药逢三秀 餐霞卧九霄
梅花百树障去路 垂柳千条暗回津
鸟飞直为惊风叶 鱼没都由怯岸人
今逢庆诞日 犹谓学仙归
棠棣花重发 鴒原鸟再飞
丹诚傥彻玉帝座 且共吾人庆大田
蓂生三五叶初齐 上元羽客出桃蹊
日月每从肩上过 山河长在掌中看
仙峰不间三春秀 灵境何时六月寒
浮云不系名居易 造化无为字乐天
童子解吟长恨曲 胡儿能唱琵琶篇
帐殿出空登碧汉 遐川俯望色蓝笼
林光入户低韶景 岭气通宵展霁风
井上新桃偷面色 檐边嫩柳学身轻
花中来去看舞蝶 树上长短听啼莺
唐虞继踵 汤禹乘时
天下光宅 海内雍熙
翘至恳 罄深衷
听虽远 诚必通
闓阳晨披紫阙 太一晓降黄庭
圜坛敢申昭报 方璧冀殿虔情
爰设筐币 式表诚心
筵辉丽璧 乐畅和音
礼崇备物 乐奏锵金
兰羞委荐 桂醑盈斟
庙略静边荒 天兵曜神武
有截资先化 无为遵旧矩
三献已周 九成斯毕
爰撤其俎 载迁其实
仰惟明德 敢荐非馨
顾惭菲奠 久驰云輧
回日驭 动云衣
登金阙 入紫微
宏规则天地 神用叶陶钧
负扆三春旦 充庭万宇宾
远安迩肃 俗阜时和
化光玉镜 讼息金科
谦以表性 恭惟立身
洪规载启 茂典方陈
载延百辟 爰集三宫
君臣德合 鱼水斯同
笙镛合奏 文物惟新
敬遵茂典 敢择良辰
万方资广运 庶品荷财成
神功谅匪测 盛德实难名
扇条风 乘甲乙
龙德盛 鸟星出
功宣建武 义表惟明
爰申礼奠 庶展翘诚
奉成先旨 明台毕功
宗祀展敬 冀表深衷
惭惕罔置 兴居匪宁
恭崇礼则 肃奉仪形
乾乾遵后命 翼翼奉先规
抚俗勤虽切 还淳化尚亏
德以恒固 功由永贞
升歌荐序 垂币翘诚
金石载设 咸英已变
林泽斯总 山川是遍
崇儒习旧规 偃伯循先旨
绝壤飞冠盖 遐区丽山水
灵降舞兆 神凝有粹
奠享咸周 威仪毕备
暂动凝质 还归积阴
功玄枢纽 理寂高深
兰灯吐新焰 桂魄朗圆辉
送酒惟须满 流杯不用稀
岩顶翔双凤 潭心倒九龙
酒中浮竹叶 杯上写芙蓉
迢迢间风月 去去隔烟霞
碧岫窥玄洞 玉灶炼丹砂
均露均霜标胜壤 交风交雨列皇畿
万仞高岩藏日色 千寻幽涧浴云衣
守分辞芳辇 含情泣团扇
一朝歌舞荣 夙昔诗书贱
偃松千岭上 杂雨二陵间
低云愁广隰 落日惨重关
攀条虽不谬 摘蕊讵知虚
春至由来发 秋还未肯疏
却邪萸入佩 献寿菊传杯
塔类承天涌 门疑待佛开
露浓香被冷 月落锦屏虚
欲奏江南曲 贪封蓟北书
圣恩愁远道 行路泣相看
沙塞容颜尽 边隅粉黛残
远眺城池山色里 俯聆弦管水声中
幽篁引沼新抽翠 芳槿低檐欲吐红
春气昨宵飘律管 东风今日放梅花
素姿好把芳姿掩 落热还同舞势斜
黄花冷落不成艳 红叶飕飗竞鼓声
背世返能厌俗态 偶缘犹未忘多情
老舌百般倾耳听 深黄一点入烟流
栖迟背世同悲鲁 浏亮如笙碎在缑
炉开小火深回暖 沟引新流几曲声
暂约彭涓安朽质 终期宗远问无生
浩浪侵愁光荡漾 乱山凝恨色高低
君驰桧楫情何极 我凭阑干日向西
吴苑宫闱今冷落 广陵台殿已荒凉
云笼远岫愁千片 雨打归舟泪万行
雨深秋寂莫 愁引病增加
咽绝风前思 昏濛眼上花
凭阑惆怅人谁会 不觉潸然泪眼低
层城无复见娇姿 佳节缠哀不自持
风威侵病骨 雨气咽愁肠
夜鼎唯煎药 朝髭半染霜
月照静居唯捣药 门扃幽院只来禽
庸医懒听词何取 小婢将行力未禁
相对终无语 争先各有心
恃强斯有失 守分固无侵
更深犹尚立案前 敷奏柔和不伤物
今朝荣贵慰我心 双旌引向重城出
下瞰峨眉岭 上窥华岳巅
驱驰非取乐 按幸为忧边
作千寻壁垒 为万祀依凭
道德虽无取 江山粗可矜
前望陇山屯剑戟 后凭巫峡锁烽烟
轩皇尚自亲平寇 嬴政徒劳爱学仙
功成道上兮列旌旗 父老远来兮相追随
家山乡眷兮会时稀 今朝设宴兮觥散飞
界开日影怜窗纸 穿破苔痕恶笋芽
西第晚宜供露茗 小池寒欲结冰花
帘开明月独窥人 欹枕钗横云鬓乱
起来琼户寂无声 时见疏星渡河汉
当时信有壶中景 今日亲来洞里天
仪仗影空寥廓外 金丝声揭翠微巅
瀑布迸舂青石碎 轮茵横翦翠峰齐
步粘苔藓龙桥滑 日闭烟罗鸟径迷
旋登三径路 似陟九嶷山
日照堆岚迥 云横积翠间
云披分景象 黛锁显楼台
雨涤前山净 风吹去路开
晴日晓升金晃曜 寒泉夜落玉丁当
松梢月转琴栖影 柏径风牵麝食香
水远波澜碧 山高气象清
殿严孙氏貌 碑暗系师名
笙歌喧宝殿 彩仗耀金徽
清泪沾罗袂 红霞拂绣衣
风巧解吹松上曲 蝶娇频采脸边脂
同寻僻境思携手 暗指遥山学画眉
军持无水注寒碧 兰若有花开晚红
武士尽排青嶂下 内人皆在讲筵中
风起半厓闻虎啸 雨来当面见龙行
晚寻水涧听松韵 夜上星坛看月明
细雨湿不暗 好风吹更明
磬敲金地响 僧唱梵天声
上排阊阖 洞入杳冥
奠玉高坛 燔柴广庭
苍龙青旗 爰候祥风
律以和应 神以感通
礼陈瑶币 乐献金奏
弹弦自昔 解冻惟旧
爰候发生 式荐馨香
酌醴具举 工歌载扬
风动物 乐感神
三献终 百神臻
送迎灵驾神心享 跪拜灵坛礼容盛
气和草木发萌芽 德畅禽鱼遂翔泳
作解之功 乐惟有年
云輧戾止 洒雾飘烟
惟乐能感 与神合契
阴雾离披 灵驭摇裔
礼备节应 震来灵降
动植求声 飞沉允望
神行令 瑞飞空
迎乾德 祈岁功
飨时灵贶僾如在 乐罢余声遥可闻
饮福陈诚礼容备 撤俎终献曙光分
一降通感 八变必臻
有求斯应 无德不亲
播殖资始 品汇咸亨
列俎棋布 方坛砥平
齐戒既肃 馨香毕陈
乐和礼备 候暖风春
肃事昭配 永言孝思
涤濯静嘉 馨香在兹
太原刻颂 后土疏场
宝鼎呈符 歊云孕祥
祥符宝鼎 礼备黄琮
祝词以信 明德惟聪
有豆孔硕 为羞既臧
至诚无昧 精意惟芳
谁其作主 皇考圣真
对越在天 圣明佐神
禋宗于地 昭假于天
惟馨荐矣 既醉歆焉
圣君绂冕 肃事坛场
大礼已备 大乐斯章
齐敬毕诚 陶匏贵质
秀毕丰荐 芳俎盈实
既协翠泉光宝命 还符白水出真人
此时舜海潜龙跃 此地尧河带马巡
昔日昔时经此地 看来看去渐成川
歌台舞榭宜正月 柳岸梅洲胜往年
池开天汉分黄道 龙向天门入紫微
邸第楼台多气色 君王凫雁有光辉
楼台影就波中出 日月光疑镜里悬
雁沼回流成舜海 龟书荐祉应尧年
日日芙蓉生夏水 年年杨柳变春湾
尧坛宝匣余烟雾 舜海渔舟尚往还
岸上丰茸五花树 波中的皪千金珠
操环昔闻迎夏启 发匣先来瑞有虞
轩后雾图今已得 秦王水剑昔常传
恩鱼不似昆明钓 瑞鹤长如太液仙
魏国君王称象处 晋家藩邸化龙初
青蒲暂似游梁马 绿藻还疑宴镐鱼
始见龙台升凤阙 应如霄汉起神泉
石匮渚傍还启圣 桃李初生更有仙
始看鱼跃方成海 即睹龙飞利在天
洲渚遥将银汉接 楼台直与紫微连
惟文之德 惟武之功
河海静谧 车书混同
风驱氛祲 天覆黎蒸
三光再朗 庶绩其凝
肃勺群慝 含光远方
万物茂遂 九夷宾王
三元告命 四极骏奔
金枝翠叶 辉烛瑶琨
允恭玄默 化成理定
出震嗣德 应乾传圣
泽周八荒 兵定四极
生物咸遂 群盗灭息
不纽不舒 贯成九围
武烈文经 敷施当宜
化时以俭 卫文以武
氛消夷夏 俗臻往古
兴起教义 申明典章
俗尚素朴 人皆乐康
金枝繁茂 玉叶延长
海渎常晏 波涛不扬
国荐严祀 坤兴淑灵
有几在室 有乐在庭
道映重华 德辉文命
慕深视箧 情殷抚镜
画幕云举 黄流玉醇
仪充献酌 礼盛众禋
笾豆静器 簠簋芬飶
鱼腊荐美 牲牷表洁
两阶文物备 七德武功成
校猎长杨苑 屯军细柳营
云感玄羽 风凄素商
瞻望神座 祗恋匪遑
降格无象 馨香有依
式昭纂庆 方融嗣徽
因心则友 克让以位
爰命有司 式遵前志
祀用商舞 乐备宫悬
白璧加荐 玄纁告虔
方周假庙 用鲁纯牲
捧彻祗敬 击拊和鸣
洁兹宗彝 瑟彼圭瓒
兰肴重错 椒醑飘散
九仪不忒 三揖将终
孝感藩后 相维辟公
风摇雨散 灵卫絪缊
龙驾帝服 上腾五云
祝道夤恭 神仪昭晰
桐圭早贵 象辂追设
乐善名存 追仙礼异
鸾旌拱修 凤鸣合吹
礼容秩秩 羽舞煌煌
肃将涤濯 祗荐芬芳
入室僾如在 升阶虔所历
奋疾合威容 定利舒皦绎
追劳表德 罢享宾天
风引仙管 堂虚画筵
闲歌在堂 万舞在庭
外则尽物 内则尽诚
宾天道茂 轸怀气分
发祗乃祀 咳叹如闻
肃将震念 昭格储灵
展矣礼典 薰然德馨
冥然升紫府 铿尔荐清乐
奠斝致馨香 在庭纷羽籥
苞茅酒缩 膋萧香彻
宫臣展事 肃雍在列
懿兹彝器 厥德惟明
金石匏革 以和以平
羽毛如翦色如染 远飞欲下双翅敛
避人引子入深堑 动处水纹开滟滟
五营屯北地 万乘出西河
单于拜玉玺 天子按雕戈
笳喧雁门北 阵翼龙城南
雕弓夜宛转 铁骑晓参潭
白骨马蹄下 谁言皆有家
城前水声苦 倏忽流万古
霏霏暮雨合 霭霭朝云生
危峰入鸟道 深谷泻猿声
莫辨啼猿树 徒看神女云
惊涛乱水脉 骤雨暗峰文
暗谷疑风雨 幽岩若鬼神
月明三峡曙 潮满二江春
万重春树合 十二碧峰齐
峡出朝云下 江来暮雨西
云藏神女馆 雨到楚王宫
朝暮泉声落 寒暄树色同
回合云藏日 霏微雨带风
猿声寒过水 树色暮连空
夭桃色若绶 秾李光如练
啼鸟弄花疏 游蜂饮香遍
结翠成新幄 开红满旧枝
风归花历乱 日度影参差
晓月怜筝柱 春风忆镜台
筝柱春风吹晓月 芳树落花朝暝歇
对此伤人心 还如故时绿
风条洒馀霭 露叶承新旭
美人旷延伫 万里浮云思
园槿绽红艳 郊桑柔绿滋
空游昨日地 不见昨日人
缭绕万家井 往来车马尘
登楼望君处 蔼蔼浮云飞
浮云遮却阳关道 向晚谁知妾怀抱
浮光随日度 漾影逐波深
回瞰周平野 开怀畅远襟
宁知数片云 不是旧山来
故人天一涯 久客殊未回
林间公子挟弹弓 一丸致毙花丛里
小雏黄口未有知 青天不解高高飞
马嘶斜日朔风急 雁过寒云边思长
残月出林明剑戟 平沙隔水见牛羊
关河别去水 沙塞断归肠
马系千年树 旌悬九月霜
深疑呜咽声 中有征人泪
昨日上山下 达曙不能寐
全疑呜咽声 中有征人泪
自古无长策 况我非深智
地势遥尊岳 河流侧让关
秦皇曾虎视 汉祖亦龙颜
看云方结阵 却月始连营
潜军渡马邑 扬旆掩龙城
寒日生戈剑 阴云摇旆旌
饥乌啼旧垒 疲马恋空城
暮云空碛时驱马 秋日平原好射雕
护羌校尉朝乘障 破虏将军夜渡辽
但使龙城飞将在 不教胡马度阴山
白花垣上望京师 黄河水流无尽时
三军尽回首 皆洒望乡泪
转念关山长 行看风景异
绝漠秋山在 阳关旧路通
列营依茂草 吹角向高风
分营长记火 放马不收旗
月冷边帐湿 沙昏夜探迟
霜雪交河尽 旌旗入塞飞
晓光随马度 春色伴人归
鸟鸣知岁隔 条变识春归
露叶疑啼脸 风花乱舞衣
拭泪攀杨柳 长条宛地垂
白花飞历乱 黄鸟思参差
碧烟杨柳色 红粉绮罗人
露叶怜啼脸 风花思舞巾
年华妾自惜 杨柳为君攀
落絮缘衫袖 垂条拂髻鬟
叶似镜中眉 花如关外雪
征人远乡思 倡妇高楼别
年华枝上见 边思曲中来
嫩色宜新雨 轻花伴落梅
怀君重攀折 非妾妒腰身
舞带萦丝断 娇娥向叶嚬
一枝何足贵 怜是故园春
迟景那能久 流芳不及新
花明玉关雪 叶暖金窗烟
美人结长恨 想对心凄然
阴移古戍迷荒草 花带残阳落远波
台上少年吹白雪 楼中思妇敛青蛾
梦见离珠浦 书来在桂州
不同鱼比目 终恨水分流
日日出门望 家家行客归
无因见边使 空待寄寒衣
相思在万里 明月正孤悬
影移金岫北 光断玉门前
合昏玄兔郡 中夜白登围
晕落关山迥 光含霜霰微
塞古柳衰尽 关寒榆发迟
苍苍万里道 戚戚十年悲
清光无远近 乡泪半书间
一雁过连营 繁霜覆古城
万里度关山 苍茫非一状
汉兵开郡国 胡马窥亭障
回轮照海远 分彩上楼长
水冻频移幕 兵疲数望乡
影转银河寰海静 光分玉塞古今愁
笳吹远戍孤烽灭 雁下平沙万里秋
旋添青草冢 更有白头人
岁暮客将老 雪晴山欲春
杨柳惹鞭公子醉 纻麻掩泪鲁人迷
通宵尘土飞山月 是处经营夹御堤
家家朱门开 得见不可入
长安十二衢 投树鸟亦急
楼阁九衢春 车马千门旦
绿柳开复合 红尘聚还散
雪处疑花满 花边似雪回
因风入舞袖 杂粉向妆台
雪中花已落 风暖叶应开
夕逐新春管 香迎小岁杯
春风吹渐落 一夜几枝空
小妇今如此 长城恨不穷
塞门风稍急 长城水正寒
雪暗鸣珂重 山长喷玉难
临流不肯渡 似惜锦障泥
白雪关山远 黄云海树迷
漳水春归晚 丛台日向低
歇鞍珠作汗 试剑玉如泥
膘大宜悬银压銙 力浑欺却玉衔头
生狞弄影风随起 躞蹀冲尘汗满沟
逐北自谙深碛路 连嘶谁念静边功
登山每与青云合 弄影应知碧草同
湿马胡歌乱 经烽汉火微
丁零苏武别 疏勒范羌归
铁岭探人迷鸟道 阴山飞将湿貂裘
斜飘旌旆过戎帐 半杂风沙入戍楼
报恩为豪侠 死难在横行
翠羽装剑鞘 黄金饰马缨
黄金铺首画钩陈 羽葆亭童拂交戟
盘纡阑楯临高台 帐殿临流鸾扇开
采花惊曙鸟 摘叶喂春蚕
懒结茱萸带 愁安玳瑁簪
玉手欲有赠 裴回双鸣珰
歌声随渌水 怨色起朝阳
江头楂树香 岸上蝴蝶飞
酒杯若叶露 玉轸蜀桐虚
扫黛开宫额 裁裙约楚腰
乖期方积思 临醉欲拼娇
危竿缘广漠 古窦傍长城
拔剑金星出 弯弧玉羽鸣
朦胧荆棘一鸟飞 屡唱提壶酤酒吃
古人不达酒不足 遗恨精灵传此曲
攀条有馀愁 那矜貌如玉
千金岂不赠 五马空踯躅
攀看去手近 放下长长钩
黄花盖野田 白马少年游
肝肠辞玉辇 形影向金微
汉宫草应绿 胡庭沙正飞
金钿明汉月 玉箸染胡尘
妆镜菱花暗 愁眉柳叶嚬
薄命由骄虏 无情是画师
嫁来胡地恶 不并汉宫时
君恩不可再 妾命在和亲
泪点关山月 衣销边塞尘
琴悲桂条上 笛怨柳花前
雾掩临妆月 风惊入鬓蝉
汉月正南远 燕山直北寒
髻鬟风拂散 眉黛雪沾残
一去边城路 何情更画妆
影销胡地月 衣尽汉宫香
愁苦辛勤憔悴尽 如今却似画图中
汉使却回凭寄语 黄金何日赎蛾眉
忽见天山雪 还疑上苑春
玉痕垂泪粉 罗袂拂胡尘
惊石坠猿哀 竹云愁半岭
凉月生秋浦 玉沙鳞鳞光
流光暂出还入地 催我少年不须臾
与君相逢不寂寞 衰老不复如今乐
爪牙在胸中 剑戟无所畏
人言畏猛虎 谁是撩头毙
玉座平生晚 金尊妓吹阑
舞馀依帐泣 歌罢向陵看
抚弦心断绝 听管泪霏霏
灵几临朝奠 空床卷夜衣
舞时飞燕列 梦里片云来
月色空馀恨 松声暮更哀
一旦雄图尽 千秋遗令开
绮罗君不见 歌舞妾空来
空馀歌舞地 犹是为君王
哀弦调已绝 艳曲不须长
落叶不归林 高陵永为谷
妆容徒自丽 舞态阅谁目
那堪攀玉座 肠断望陵朝
怨著情无主 哀凝曲不调
石马卧新烟 忧来何所似
歌声且潜弄 陵树风自起
玉座人难到 铜台雨滴平
西陵树不见 漳浦草空生
洞庭波色惜不得 东风领入黄金尊
千筠掷毫春谱大 碧舞红啼相唱和
野日分戈影 天星合剑文
弓弦抱汉月 马足践胡尘
广场收骥尾 清瀚怯龙鳞
帆色已归越 松声厌避秦
笳鸣马嘶乱 争渡金河水
日暮沙漠垂 战声烟尘里
一卷旌收千骑虏 万全身出百重围
黄云断塞寻鹰去 白草连天射雁归
综新交缕涩 经脆断丝多
衣香逐举袖 钏动应鸣梭
帘影竹叶起 箫声吹日色
蜂语绕妆镜 拂蛾学春碧
下视秋涛空渺弥 旧处鱼龙皆细物
人生在世何容易 眼浊心昏信生死
封狐犹未翦 边将岂无羞
白草三冬色 黄云万里愁
暖去栖蓬蒿 寒归傍篱落
殷勤避罗网 乍可遇雕鹗
角声满天秋色里 塞上燕支凝夜紫
半卷红旗临易水 霜重鼓寒声不起
深谷下寥廓 层岩上郁盘
飞梁架绝岭 栈道接危峦
云摇锦更节 海照角端弓
暗碛埋砂树 冲飙卷塞蓬
愁来好自抑 念切已含颦
虚牖风惊梦 空床月厌人
织锦犹未成 虫声入罗幕
妾有罗衣裳 秦王在时作
山头一怪石 长作望夫名
鸟有并翼飞 兽有比肩行
羞将离恨向东风 理尽秦筝不成曲
与君形影分胡越 玉枕终年对离别
守分辞方辇 含情泣团扇
一朝歌舞荣 夙昔诗书贱
玉阶闻坠叶 罗幌见飞萤
清露凝珠缀 流尘下翠屏
玉阶草露积 金屋网尘生
妾妒今应改 君恩昔未平
谁使恩情深 今来反相误
愁眠罗帐晓 泣坐金闺暮
月光欲到长门殿 别作深宫一段愁
桂殿长愁不记春 黄金四屋起秋尘
鸦鸣秋殿晓 人静禁门深
每忆椒房宠 那堪永巷阴
舞袖垂新宠 愁眉结旧恩
绿钱生履迹 红粉湿啼痕
妾妒亦非深 君恩那不惜
携琴就玉阶 调悲声未谐
月移深殿早 春向后宫迟
蕙草生闲地 梨花发旧枝
移恩向何处 暂妒不容收
夜久丝管绝 月明宫殿秋
春来却羡庭花落 得逐晴风出禁墙
流水君恩共不回 杏花争忍扫成堆
泪痕不学君恩断 拭却千行更万行
学画蛾眉独出群 当时人道便承恩
巾栉不可见 枕席空馀香
窗暗网罗白 阶秋苔藓黄
秋风一已劲 摇落不胜悲
寂寂苍苔满 沉沉绿草滋
容华尚春日 娇爱已秋风
枕席临窗晓 帏屏向月空
君王看舞席 坐起秋风时
玉树清御路 金陈翳垂丝
人愁在长信 萤出向昭阳
露裛红兰死 秋凋碧树伤
事逐时皆往 恩无日再中
早鸿闻上苑 寒露下深宫
南山掌上来 不及新恩重
后宫多窈窕 日日学新声
火烧白玉非因玷 霜翦红兰不待秋
花落昭阳谁共辇 月明长信独登楼
生君弃妾意 增妾怨君情
日落昭阳殿 秋来长信城
金炉玉枕无颜色 卧听南宫清漏长
奉帚平明金殿开 暂将团扇共裴回
天行乘玉辇 飞燕与君同
更有留情处 承恩乐未穷
笙歌何处承恩宠 一一随风入上阳
长门槐柳半萧疏 玉辇沉思恨有馀
落花吹欲尽 垂柳折还长
桑女淮南曲 金鞍塞北装
赠子同心花 殷勤此何极
陌头杨柳枝 已被春风吹
何时复采菱 江中密相遇
辟恶茱萸囊 延年菊花酒
调丝竞短歌 拂枕怜长夜
帷横双翡翠 被卷两鸳鸯
慷慨吐清音 明转出天然
丝竹发歌响 假器扬清音
谁知苦寒调 共作白雪弦
恃爱如欲进 含羞出不前
秋风入庭树 从此不相见
上有乘鸾女 苍苍虫网遍
淮南游客马连嘶 碧草迷人归不得
风飘客意如吹烟 纤指殷勤伤雁弦
绿盖独穿香径归 白马花竿前孑孑
蜀江风澹水如罗 堕兰谁泛相经过
来不言兮意不传 作暮雨兮愁空山
悲急管兮思繁弦 神之驾兮俨欲旋
月明无叶树 霜滑有风枝
啼涩饥喉咽 飞低冻翅垂
暗霜移树宿 残夜绕枝啼
咽绝声重叙 愔淫思乍迷
银汉斜临白玉堂 芙蓉行障掩灯光
画舸双艚锦为缆 芙蓉花发莲叶暗
城中美年少 相见白铜鞮
少年襄阳地 来往襄阳城
玉床翠羽帐 宝袜莲花炬
魂处自目成 色授开心许
佳期大堤下 泪向南云满
春风复无情 吹我梦魂散
岁岁春草生 踏青二三月
王孙挟珠弹 游女矜罗袜
月随波动碎潾潾 雪似梅花不堪折
李娘十六青丝发 画带双花为君结
何许最关人 乌啼白门柳
乌啼隐杨花 君醉留妾家
秾桑绕舍麦如尾 幽轧鸣机双燕巢
马声特特荆门道 蛮水扬光色如草
水风浦云生老竹 渚暝蒲帆如一幅
鲈鱼千头酒百斛 酒中倒卧南山绿
既觅同心侣 复采同心莲
折藕丝能脆 开花叶正圆
日照新妆水底明 风飘香袖空中举
岸上谁家游冶郎 三三五五映垂杨
大嫂采芙蓉 溪湖千万重
长兄行不在 莫使外人逢
挥手弄白日 安能恋青宫
岂无婵娟子 结念罗帐中
霏霏雾雨杏花天 帘外春威着罗幕
曲栏伏槛金麒麟 沙苑芳郊连翠茵
沙鸥白羽翦晴碧 野桃红艳烧春空
芳草绵延锁平地 垄蝶双双舞幽翠
一旦彩云至 身去无还期
遗曲此台上 世人多学吹
是日逢仙子 当时别有情
人吹彩箫去 天借绿云迎
坐恐玉楼春欲尽 红绵粉絮裛妆啼
董贤女弟在椒风 窈窕繁华贵后宫
裁缝长短不能定 自持刀尺向姑前
复恐兰膏污纤指 常遣傍人收堕珥
绣衫金騕袤 花髻玉珑璁
宿雨香潜润 春流水暗通
蛮娘吟弄满寒空 九山静绿泪花红
离鸾别凤烟梧中 巫云蜀雨遥相通
深宫坐愁百年身 一片玉中生愤血
焦桐罢弹丝自绝 漠漠暗魂愁夜月
自无君子佩 未是国香衰
白露沾长早 青春每到迟
巢成不生子 大义当乖离
江汉水之大 鹄身鸟之微
青天漫漫碧海重 知向何山风雪中
万里虽然音影在 向心终是死生同
空巢在松杪 折羽落江泥
寻水终不饮 逢林亦未栖
声断碧云外 影孤明月中
青田归路远 月桂旧巢空
襄阳走马客 意气自生春
朝嫌剑光静 暮嫌剑花冷
只得当年备宫掖 何曾专夜奉帏屏
见疏从道迷图画 知屈那教配虏庭
举头惟见月 何处是长安
汉庭无大议 戎虏几先和
胡风嘶去马 汉月吊行轮
衣薄狼山雪 妆成虏塞春
满园深浅色 照在绿波中
上苑何穷树 花开次第新
才见春光生绮陌 已闻清乐动云韶
经过柳陌与桃蹊 寻逐风光着处迷
为有倾城色 翻成足愁苦
东湖采莲叶 南湖拔蒲根
前途欢不集 往事恨空来
昼景委红叶 月华铺绿苔
风波一摇荡 天地几翻覆
孤萤出荒池 落叶穿破屋
月渡天河光转湿 鹊惊秋树叶频飞
宫连太液见苍波 暑气微清秋意多
徒生仙实凤不游 老死空山人讵识
妙年秉愿逃俗纷 归卧嵩丘弄白云
羞闻拊背入 恨说舞腰轻
太常应已醉 刘君恒带酲
宠移新爱夺 泣下故情留
啼鸟惊残梦 飞花搅独愁
